Name,doc_lrml_f_score,random_lrml_f_score,doc_lrml_f_score.1,random_lrml_f_score.1,doc_lrml_f_score_test,random_lrml_f_score_test,doc_lrml_f_score_test.1,random_lrml_f_score_test.1,doc_bleu_test,random_bleu_test,doc_bleu_test.1,random_bleu_test.1,avg runtime,doc_Runtime,random_Runtime,doc_Runtime.1,random_Runtime.1,doc_lrml_precision_test,random_lrml_precision_test,doc_lrml_precision_test.1,random_lrml_precision_test.1,doc_lrml_recall_test,random_lrml_recall_test,doc_lrml_recall_test.1,random_lrml_recall_test.1,doc_bleu_test_no_sep,random_bleu_test_no_sep,doc_bleu_test_no_sep.1,random_bleu_test_no_sep.1,doc_bleu_test_oracle,random_bleu_test_oracle,doc_bleu_test_oracle.1,random_bleu_test_oracle.1,doc_lrml_f_score_test_no_sep,random_lrml_f_score_test_no_sep,doc_lrml_f_score_test_no_sep.1,random_lrml_f_score_test_no_sep.1,doc_lrml_f_score_test_oracle,random_lrml_f_score_test_oracle,doc_lrml_f_score_test_oracle.1,random_lrml_f_score_test_oracle.1,doc_lrml_precision_test_no_sep,random_lrml_precision_test_no_sep,doc_lrml_precision_test_no_sep.1,random_lrml_precision_test_no_sep.1,doc_lrml_precision_test_oracle,random_lrml_precision_test_oracle,doc_lrml_precision_test_oracle.1,random_lrml_precision_test_oracle.1,doc_lrml_recall_test_no_sep,random_lrml_recall_test_no_sep,doc_lrml_recall_test_no_sep.1,random_lrml_recall_test_no_sep.1,doc_lrml_recall_test_oracle,random_lrml_recall_test_oracle,doc_lrml_recall_test_oracle.1,random_lrml_recall_test_oracle.1
,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std
t5-amr_ir-rev_2_postprocess_duplicates,64.7,67,0.9,0.5,55.9,64.4,0.3,0.4,65.1,68.4,1.1,0.6,4671.85,6234.7,3109,3187,867.6,54.6,68.3,1.4,0.8,57.3,60.9,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_3_unit,66.8,67.6,0.9,1,57,65.2,2,0.6,66.3,71.2,1.1,1,4063.0,3085.3,5040.7,737.1,2149.7,57.2,67.9,3.4,0.1,56.9,62.8,0.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_4_u_ao,67.2,67.8,1.2,0.7,55.6,65.3,1.1,0.9,62.9,71.6,2,1.9,2437.0,2710,2164,852.2,942.7,53.2,68.5,0.6,1,58.2,62.4,1.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_5_u_ao_atom,68.8,69.2,0.4,0.3,57,65.2,1.2,0.9,64.9,71.7,3.5,1.6,4703.2,4229.7,5176.7,2615,2623.4,57.2,68.7,1.5,1.1,56.9,62.1,1.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_8_u_atom,69,68.4,0.3,0.3,58.5,65.4,0.8,1,68.1,70.5,1,1.4,4255.65,5629.3,2882,2874.6,1696.7,58.8,68.7,1.1,0.7,58.2,62.4,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_6_u_ao_at_expr,68.6,67.9,0.3,0.6,56.4,65.8,1.2,1.3,62.7,71.7,5,0.7,1484.3,1372.3,1596.3,508,606.6,54.2,68.1,0.9,0.6,58.7,63.6,1.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_9_u_at_expr,70,68.9,0.4,0.3,55.5,64.9,0.6,1.9,66.2,71.6,0.2,3,1952.35,1615.7,2289,1228.3,1894.6,52,67,0.7,1,59.4,62.9,0.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_7_u_ao_at_ex_loop,68.7,68.4,0.4,0.4,55.4,66.4,1.2,0.3,64.7,71.1,0.3,1.1,1270.2,1649.7,890.7,826.9,11,52.4,69.5,0.9,0.3,58.8,63.6,1.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir-rev_10_u_at_ex_loop,69.5,68.7,0.9,0.2,56.6,65.9,0.8,0.6,66.3,71.2,2.1,0.4,1548.0,1642.7,1453.3,1237,484.1,53,68.5,1.4,0.7,60.8,63.5,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
